2   0.47	0.03	0.65	0.06	0.66	0.04
3   0.52	0.04	0.68	0.05	0.69	0.04
4   0.38	0.11	0.68	0.13	0.70	0.10
5   0.06	0.05	0.15	0.08	0.19	0.01
7   0.48	0.05	0.57	0.12	0.67	0.04
8   0.60	0.06	0.75	0.06	0.79	0.04
10  0.66	0.07	0.73	0.05	0.76	0.04
11  0.48	0.10	0.62	0.09	0.65	0.09
12  0.57	0.09	0.69	0.06	0.74	0.03
13  0.47	0.10	0.53	0.10	0.61	0.05
17  0.40	0.09 	0.55	0.07	0.58	0.06
18  0.37	0.12	0.46	0.10	0.50	0.08
26  0.31	0.13	0.42	0.13	0.49	0.08
28  0.53	0.08	0.61	0.06	0.64	0.05
41  0.47	0.03	0.65	0.06	0.66	0.04
42  0.52	0.04	0.67	0.05	0.69	0.04
43  0.36	0.11	0.66	0.12	0.68	0.10
44  0.07	0.05	0.14	0.08	0.19	0.09
46  0.47	0.06	0.57	0.11	0.66	0.04
47  0.59	0.07	0.75	0.06	0.79	0.03
49  0.67	0.07	0.72	0.06	0.76	0.05
50  0.49	0.10	0.60	0.10	0.63	0.10
51  0.59	0.07	0.67	0.07	0.75	0.03
52  0.49	0.09	0.51	0.11	0.62	0.04
53  0.40	0.10	0.56	0.07	0.60	0.06
54  0.38	0.12	0.43	0.12	0.49	0.09
58  0.27	0.14	0.40	0.13	0.48	0.08
60  0.53	0.08	0.61	0.07	0.64	0.05
14  0.34	0.11	0.48	0.10	0.52	0.09
15  0.29	0.14	0.54	0.08	0.59	0.07
16  0.63	0.08	0.80	0.04	0.81	0.03

